CDNs in BR    	\% resources        	CDNs in GB         	\% resources       	CDNs in CN    	\% resources       	CDNs in ZA    	\% resources       	CDNs in AU    	\% resources        	CDNs in IN         	\% resources       	CDNs in TR    	\% resources       	CDNs in RU    	\% resources       	CDNs in DE    	\% resources       	CDNs in US    	\% resources
Cloudflare    	35.90590177465951   	Cloudflare         	30.860113421550096 	Cloudflare    	35.69937369519833  	Cloudflare    	43.33635539437897  	Cloudflare    	27.994676131322095  	Cloudflare         	41.25242091672047  	Cloudflare    	42.19022687609075  	Cloudflare    	46.0727969348659   	Cloudflare    	35.12797881729921  	Cloudflare    	22.860847018150388
Google        	20.22286421791168   	Akamai             	18.85633270321361  	Akamai        	15.866388308977035 	Google        	18.13236627379873  	Akamai        	21.11801242236025   	Akamai             	18.91542930923176  	Google        	20.986038394415356 	Google        	15.996168582375478 	Akamai        	19.593998234774933 	Akamai        	21.305099394987035
Akamai        	13.990920346677672  	Google             	16.776937618147446 	Tencent       	13.013221990257481 	Akamai        	13.14596554850408  	Google        	20.9849157054126    	Google             	16.591349257585538 	Akamai        	12.041884816753926 	Akamai        	11.973180076628353 	Google        	16.593115622241836 	Google        	19.96542783059637
Cloudfront    	8.914568716467189   	Fastly             	10.680529300567107 	Google        	11.6214335421016   	Fastly        	7.43427017225748   	Cloudfront    	9.582963620230702   	Cloudfront         	8.521626856036152  	Cloudfront    	5.7591623036649215 	Fastly        	6.704980842911877  	Cloudfront    	10.59135039717564  	Fastly        	12.878133102852203
Fastly        	5.076351630210483   	Cloudfront         	9.262759924385634  	Taobao        	5.497564370215727  	Cloudfront    	5.7116953762466    	Fastly        	7.719609582963621   	Fastly             	5.293737895416398  	Fastly        	4.5811518324607325 	CDNetworks    	4.022988505747127  	Fastly        	7.016769638128862  	Cloudfront    	9.464131374243733
Azion         	3.342963268675196   	StackPath          	2.22117202268431   	Fastly        	5.219206680584551  	CDN77         	2.175883952855848  	StackPath     	1.5084294587400178  	CDN77              	1.4848289218850872 	Medianova     	3.7521815008726005 	Cloudfront    	3.735632183908046  	CDN77         	2.824360105913504  	EdgeCast      	1.9014693171996542
BunnyCDN      	1.7333883615352867  	CDN77              	1.890359168241966  	Cloudfront    	4.384133611691023  	StackPath     	1.3599274705349047 	Incapsula     	1.2866015971606033  	StackPath          	1.2265978050355069 	CDN77         	1.9197207678883073 	NGENIX        	3.4482758620689653 	StackPath     	1.676963812886143  	StackPath     	1.9014693171996542
CDN77         	1.5270326042096574  	Highwinds          	1.3705103969754253 	Yahoo         	1.6701461377870563 	Facebook      	1.2692656391659112 	Yahoo         	1.1535048802129548  	Facebook           	0.9683666881859264 	Facebook      	1.0034904013961605 	CDN77         	1.628352490421456  	Highwinds     	1.1032656663724625 	Yahoo         	1.815038893690579
EdgeCast      	1.1968633924886505  	EdgeCast           	1.3232514177693762 	CDN77         	1.4613778705636744 	EdgeCast      	0.9972801450589301 	Highwinds     	1.064773735581189   	BunnyCDN           	0.9038089089735313 	MicrosoftAzure	0.9162303664921466 	Facebook      	1.2452107279693487 	Yahoo         	0.970873786407767  	CDN77         	1.1235955056179776
StackPath     	1.1968633924886505  	BunnyCDN           	1.275992438563327  	StackPath     	1.1830201809324983 	Highwinds     	0.7252946509519492 	EdgeCast      	0.9760425909494232  	Highwinds          	0.8392511297611362 	EdgeCast      	0.8289703315881326 	EdgeCast      	1.053639846743295  	MicrosoftAzure	0.9267431597528685 	Highwinds     	0.9075194468452895
