CDN              	Country  	  ('local', 'diff_metro')	  ('local', 'same_R')	  ('local', 'neigh_R')	  ('local', 'non-neigh_R')	  ('diff_metro', 'same_R')	  ('diff_metro', 'neigh_R')	  ('diff_metro', 'non-neigh_R')	  ('same_R', 'neigh_R')	  ('same_R', 'non-neigh_R')	  ('neigh_R', 'non-neigh_R')
Akamai           	US       	                0.589366 	             0.539613	             0.612365 	                  0.680712	                 0.486428 	                   0.551803	                       0.670914	               0.552849	                   0.632478	                    0.49738
Akamai           	IN       	                0.484574 	             0.503723	             0.631337 	                  0.705566	                 0.323497 	                   0.666224	                       0.742112	               0.648838	                   0.721975	                    0.588346
Akamai           	KR       	                0.145432 	             0.699033	             0.716507 	                  0.743864	                 0.573279 	                   0.644948	                       0.660412	               0.581372	                   0.606826	                    0.253184
EdgeCast         	US       	                0.134337 	             0.195032	             0.260408 	                  0.436257	                 0.0990642	                   0.193755	                       0.436003	               0.161756	                   0.375548	                    0.321434
EdgeCast         	IN       	                0.147216 	             0.121281	             0.204127 	                  0.449534	                 0.201754 	                   0.159382	                       0.451441	               0.227029	                   0.418233	                    0.359262
EdgeCast         	KR       	                0.0322581	             0.101449	             0.0666667	                  0.266667	                 0.112202 	                   0.083871	                       0.280645	               0.134783	                   0.234783	                    0.2
Amazon Cloudfront	US       	                0.806732 	             0.769131	             0.77488  	                  0.668396	                 0.498928 	                   0.653262	                       0.574755	               0.155467	                   0.326637	                    0.442603
Amazon Cloudfront	IN       	                0.669813 	             0.667297	             0.728987 	                  0.731417	                 0.287396 	                   0.782951	                       0.809496	               0.769459	                   0.788865	                    0.231597
Amazon Cloudfront	KR       	                0.779503 	             0.742319	             0.795459 	                  0.809654	                 0.658827 	                   0.304434	                       0.266561	               0.443477	                   0.669997	                    0.324312
Fastly           	US       	                0.253553 	             0.421185	             0.447021 	                  0.430928	                 0.173944 	                   0.360661	                       0.398217	               0.257102	                   0.275692	                    0.242148
Fastly           	IN       	                0.483639 	             0.496251	             0.511945 	                  0.527564	                 0.255191 	                   0.54162 	                       0.55387 	               0.538503	                   0.568396	                    0.369984
Fastly           	KR       	                0.141729 	             0.376362	             0.382583 	                  0.384088	                 0.250178 	                   0.279988	                       0.272587	               0.232589	                   0.238577	                    0.134752
Google           	US       	                0.458066 	             0.458977	             0.516672 	                  0.504722	                 0.192045 	                   0.500405	                       0.4927  	               0.404141	                   0.378923	                    0.207689
Google           	IN       	                0.293741 	             0.508827	             0.537173 	                  0.564347	                 0.26483  	                   0.525327	                       0.57539 	               0.519674	                   0.603911	                    0.342283
Google           	KR       	                0.17222  	             0.260274	             0.540891 	                  0.516114	                 0.154632 	                   0.408365	                       0.45395 	               0.418277	                   0.405252	                    0.362896
Cloudflare       	US       	                0.230016 	             0.217248	             0.257391 	                  0.273367	                 0.114286 	                   0.237628	                       0.25342 	               0.127311	                   0.147071	                    0.122306
Cloudflare       	IN       	                0.184114 	             0.18333 	             0.295882 	                  0.304231	                 0.0758347	                   0.287788	                       0.29386 	               0.255247	                   0.269808	                    0.105665
Cloudflare       	KR       	                0.160482 	             0.318182	             0.264578 	                  0.268918	                 0.24094  	                   0.146464	                       0.131565	               0.18072 	                   0.250303	                    0.114452
