CDN       	Country  	  ('local', 'diff_metro')	  ('local', 'same_R')	  ('local', 'neigh_subR')	  ('local', 'neigh_R')	  ('local', 'non-neigh_R')	  ('diff_metro', 'same_R')	  ('diff_metro', 'neigh_subR')	  ('diff_metro', 'neigh_R')	  ('diff_metro', 'non-neigh_R')	  ('same_R', 'neigh_subR')	  ('same_R', 'neigh_R')	  ('same_R', 'non-neigh_R')	  ('neigh_subR', 'neigh_R')	  ('neigh_subR', 'non-neigh_R')	  ('neigh_R', 'non-neigh_R')
Cloudflare	BR       	               0.0201784 	           0.00849858	                0.0395989	            0.0300644 	                0.00733596	                 0.0285682	                     0.0254835	                 0.0197258 	                     0.0238281 	                0.0479585 	             0.0385025 	                 0.00548845	                 0.0219512 	                     0.0445347 	                  0.0339411
Cloudflare	GB       	               0.0119036 	           0.0498741 	                0.0284042	            0.0180723 	                0.0103816 	                 0.0529665	                     0.0317627	                 0.0182008 	                     0.016     	                0.0299883 	             0.041842  	                 0.0436143 	                 0.0208631 	                     0.0203066 	                  0.00803213
Cloudflare	ZA       	               0.0157642 	           0.121383  	                0.0498645	            0.0165485 	                0.0220964 	                 0.111063 	                     0.0396409	                 0.00665775	                     0.00867352	                0.0853379 	             0.10625   	                 0.107123  	                 0.0333161 	                     0.0329005 	                  0.00806366
Cloudflare	CN       	               0.17829   	           0.224252  	                0.185799 	            0.133929  	                0.190476  	                 0.0944177	                     0.0231115	                 0.157127  	                     0.0185187 	                0.0780753 	             0.233541  	                 0.0765077 	                 0.175642  	                     0.0165607 	                  0.171416
Cloudflare	AU       	               0.0104058 	           0.0123362 	               -1        	            0.00813008	                0.0159931 	                 0.0158381	                    -1        	                 0.0124507 	                     0.0187262 	               -1         	             0.00845363	                 0.00848594	                -1         	                    -1         	                  0.00827616
Cloudflare	IN       	               0.00534759	           0.0151408 	                0.0318658	            0.0597024 	                0.00996981	                 0.0122307	                     0.0283007	                 0.0597024 	                     0.0117523 	                0.0327062 	             0.0631176 	                 0.0238985 	                 0.0775831 	                     0.0316802 	                  0.0598965
Cloudflare	TR       	               0.0648622 	           0.0869487 	                0.100671 	            0.0381292 	                0.0386628 	                 0.0307801	                     0.154605 	                 0.035636  	                     0.0333788 	                0.180357  	             0.05625   	                 0.0553571 	                 0.135417  	                     0.137628  	                  0.00439239
Cloudflare	RU       	               0.161028  	           0.125658  	                0.122209 	            0.149296  	                0.139289  	                 0.213124 	                     0.211691 	                 0.238778  	                     0.228771  	                0.0174538 	             0.0875414 	                 0.0965368 	                 0.0828066 	                     0.0892063 	                  0.0169014
Cloudflare	DE       	               0.0139709 	           0.0181799 	                0.0181799	            0.0126461 	                0.00981584	                 0.0129257	                     0.0103032	                 0.0101328 	                     0.00940157	                0.00356506	             0.0093365 	                 0.0120449 	                 0.00967917	                     0.0120449 	                  0.00359314
Cloudflare	US       	               0.0837409 	           0.0805198 	                0.0587719	            0.0738232 	                0.063317  	                 0.0130622	                     0.0251218	                 0.0265887 	                     0.0207297 	                0.0238734 	             0.0164179 	                 0.0201474 	                 0.0203621 	                     0.00677201	                  0.0181048
Google    	BR       	               0.666667  	           0.680851  	                0.508929 	            0.856     	                0.772152  	                 0.439716 	                     0.209957 	                 0.656     	                     0.563291  	                0.239615  	             0.656     	                 0.550633  	                 0.648     	                     0.544304  	                  0.468354
Google    	GB       	               0.0248891 	           0.430779  	                0.62547  	            0.6125    	                0.504275  	                 0.430201 	                     0.624891 	                 0.6125    	                     0.503696  	                0.309735  	             0.33125   	                 0.184397  	                 0.33125   	                     0.197891  	                  0.26875
Google    	ZA       	               0.111801  	           0.246032  	                0.506667 	            0.66      	                0.551724  	                 0.181159 	                     0.551884 	                 0.69      	                     0.586207  	                0.66      	             0.733333  	                 0.649425  	                 0.62      	                     0.505747  	                  0.56
Google    	CN       	               0.355556  	           0.755556  	                0.722222 	            0.755556  	                0.688889  	                 0.681306 	                     0.518919 	                 0.540541  	                     0.432432  	                0.308333  	             0.221667  	                 0.447917  	                 0.133333  	                     0.139583  	                  0.24875
Google    	AU       	               0.0421928 	           0.0836534 	               -1        	            0.563291  	                0.456522  	                 0.0494042	                    -1        	                 0.575949  	                     0.471014  	               -1         	             0.588608  	                 0.485507  	                -1         	                    -1         	                  0.246377
Google    	IN       	               0.768182  	           0.527017  	                0.8375   	            0.756098  	                0.707621  	                 0.345181 	                     0.6625   	                 0.573171  	                     0.445545  	                0.505422  	             0.428592  	                 0.415842  	                 0.573171  	                     0.445545  	                  0.415842
Google    	TR       	               0.501984  	           0.502315  	                0.851429 	            0.738255  	                0.620963  	                 0.104828 	                     0.697143 	                 0.563758  	                     0.418605  	                0.697143  	             0.563758  	                 0.418605  	                 0.489933  	                     0.325581  	                  0.42953
Google    	RU       	               0.0508475 	           0.647059  	                0.780822 	            0.990385  	                0.857143  	                 0.647059 	                     0.780822 	                 0.990385  	                     0.857143  	                0.630137  	             0.875     	                 0.702381  	                 0.817308  	                     0.666667  	                  0.778846
Google    	DE       	               0.0726961 	           0.468085  	                0.366119 	            0.655172  	                0.56      	                 0.461988 	                     0.355605 	                 0.649425  	                     0.553902  	                0.156028  	             0.367816  	                 0.206667  	                 0.41954   	                     0.273333  	                  0.287356
Google    	US       	               0.508982  	           0.372733  	                0.633333 	            0.506667  	                0.666667  	                 0.239521 	                     0.406667 	                 0.32      	                     0.44      	                0.413333  	             0.333333  	                 0.446667  	                 0.246667  	                     0.226667  	                  0.28
Akamai    	BR       	               0.558282  	           1         	                1        	            1         	                1         	                 1        	                     1        	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
Akamai    	GB       	               1         	           1         	                1        	            1         	                1         	                 1        	                     1        	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  0.913043
Akamai    	ZA       	               0.381148  	           0.693557  	                1        	            1         	                1         	                 0.855995 	                     1        	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
Akamai    	CN       	               1         	           0.768514  	                1        	            1         	                1         	                 1        	                     0.4      	                 0.6       	                     0.340396  	                1         	             1         	                 1         	                 1         	                     0.174882  	                  0.910891
Akamai    	AU       	               0.144997  	           1         	               -1        	            1         	                1         	                 1        	                    -1        	                 1         	                     1         	               -1         	             1         	                 1         	                -1         	                    -1         	                  0.790179
Akamai    	IN       	               1         	           1         	                1        	            1         	                1         	                 1        	                     1        	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
Akamai    	TR       	               0.317919  	           1         	                1        	            1         	                1         	                 1        	                     1        	                 1         	                     1         	                0.857923  	             1         	                 1         	                 1         	                     1         	                  0.899371
Akamai    	RU       	               0.144737  	           0.902174  	                1        	            1         	                1         	                 0.913043 	                     1        	                 1         	                     1         	                0.840708  	             1         	                 1         	                 1         	                     1         	                  0.813187
Akamai    	DE       	               0.265385  	           1         	                1        	            1         	                1         	                 1        	                     1        	                 1         	                     1         	                1         	             1         	                 0.964467  	                 1         	                     0.893401  	                  0.71066
Akamai    	US       	               1         	           1         	                1        	            1         	                1         	                 0.699248 	                     1        	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
