CDN       	Country  	  ('local', 'diff_metro')	  ('local', 'same_R')	  ('local', 'neigh_subR')	  ('local', 'neigh_R')	  ('local', 'non-neigh_R')	  ('diff_metro', 'same_R')	  ('diff_metro', 'neigh_subR')	  ('diff_metro', 'neigh_R')	  ('diff_metro', 'non-neigh_R')	  ('same_R', 'neigh_subR')	  ('same_R', 'neigh_R')	  ('same_R', 'non-neigh_R')	  ('neigh_subR', 'neigh_R')	  ('neigh_subR', 'non-neigh_R')	  ('neigh_R', 'non-neigh_R')
Cloudflare	BR       	                1.81608  	             0.420298	                1.83956  	               1.95179	                  1.81528 	                  1.74229 	                      1.06864 	                   0.777432	                       2.10031 	                  1.99393 	               1.85235 	                   1.63696 	                   1.76443 	                       3.0906  	                    2.09922
Cloudflare	GB       	                0.0046181	             0.413051	                0.203079 	               3.42263	                  0.532192	                  0.417526	                      0.206033	                   3.42703 	                       0.536664	                  0.305392	               3.02136 	                   0.683916	                   3.2486  	                       0.557446	                    2.89257
Cloudflare	ZA       	                1.25429  	             0.390475	                2.09748  	               2.27109	                  1.78609 	                  1.59611 	                      0.843417	                   1.01714 	                       0.535302	                  2.40159 	               2.56417 	                   2.12315 	                   0.410028	                       0.311627	                    0.486391
Cloudflare	CN       	               16.433    	            19.2392  	               17.373    	              15.0202 	                 17.7351  	                  3.12689 	                      1.17205 	                   5.79219 	                       1.48632 	                  2.77326 	               8.05806 	                   3.77461 	                   6.36869 	                       1.31289 	                    6.76909
Cloudflare	AU       	                0.230619 	             2.57146 	               -1        	               3.29075	                  3.1259  	                  2.40541 	                     -1       	                   3.12467 	                       2.95983 	                 -1       	               0.846869	                   0.605652	                  -1       	                      -1       	                    0.743595
Cloudflare	IN       	                0.396622 	             1.6423  	                0.78082  	               2.98709	                  1.68212 	                  1.27474 	                      0.980159	                   3.35754 	                       2.05253 	                  2.24762 	               4.62344 	                   3.31743 	                   2.39517 	                       1.13716 	                    2.60461
Google    	BR       	                5.16056  	            13.7099  	               40.7252   	             113.683  	                179.884   	                  9.39863 	                     36.751   	                 108.574   	                     174.773   	                 33.8361  	             100.082   	                 166.281   	                  73.0034  	                     139.202   	                   85.5006
Google    	GB       	                1.62575  	            11.333   	                7.20068  	             135.21   	                 79.818   	                 10.9429  	                      6.03181 	                 136.831   	                      81.177   	                  8.63495 	             125.888   	                  70.2349  	                 132.046   	                      77.8218  	                   55.654
Google    	ZA       	                9.55015  	            11.5496  	               54.7378   	             231.79   	                154.48    	                  6.15002 	                     62.8936  	                 236.713   	                     160.723   	                 64.4263  	             241.347   	                 164.038   	                 177.138   	                      99.835   	                   77.3093
Google    	CN       	                6.04385  	            52.8914  	               69.3045   	             103.937  	                 75.0866  	                 47.083   	                     63.375   	                  98.1265  	                      69.1572  	                 37.7765  	              56.9064  	                  41.3899  	                  35.6492  	                      32.7798  	                   30.7889
