Location  	  Internet Users	     DNS	  DNS-Adjusted	  Anycast	  Anycast-Adjusted	  Regional Anycast	  Regional Anycast-Adjusted	  Mixed Approach	  Mixed Approach-Adjusted
US        	             5.5	34.2227 	     1.24691  	  31.7633	         1.15731  	          3.44447 	                 0.1255    	         30.5695	                1.11381


BR        	             3.3	36.1891 	     0.789833 	  32.7224	         0.714172 	          1.4745  	                 0.0321812 	         29.614 	                0.646331
AR        	             0.8	33.9946 	     0.174966 	  33.3011	         0.171397 	          0.884327	                 0.00455151	         31.8199	                0.163773


IN        	            15.5	27.6626 	     2.82619  	  39.4968	         4.03525  	          0.584665	                 0.0597332 	         32.2559	                3.29548
CN        	            18.8	48.356  	     5.98941  	  29.8926	         3.70252  	          0.873844	                 0.108235  	         20.8775	                2.5859
ID        	             3.9	13.4004 	     0.348717 	  53.528 	         1.39295  	          2.72033 	                 0.0707908 	         30.3512	                0.789825
AE        	             0.2	20.8644 	     0.0311328	  39.4177	         0.0588172	          1.00716 	                 0.00150284	         38.7108	                0.0577623


FR        	             1.1	26.9643 	     0.199653 	  37.9241	         0.280803 	          3.6306  	                 0.0268822 	         31.481 	                0.233096
GB        	             1.2	26.2786 	     0.209465 	  32.3895	         0.258175 	          2.8956  	                 0.0230806 	         38.4364	                0.306374
TR        	             1.3	26.1498 	     0.232327 	  45.3972	         0.40333  	          3.1128  	                 0.0276556 	         25.3402	                0.225134
RU        	             2.3	 9.81179	     0.149853 	  62.4561	         0.953875 	          0.546167	                 0.00834146	         27.1859	                0.415203
DE        	             1.5	30.2792 	     0.293607 	  41.7957	         0.405278 	          1.53636 	                 0.0148975 	         26.3888	                0.255882


AU        	             0.4	40.6879 	     0.11663  	  26.7223	         0.0765984	          0.908908	                 0.00260535	         31.6809	                0.0908119


ZA        	             0.6	14.8504 	     0.0628665	  52.3646	         0.221676 	          0.651033	                 0.00275603	         32.1339	                0.136033
EG        	             1  	16.2024 	     0.10869  	  54.509 	         0.365661 	          0.192642	                 0.00129229	         29.0959	                0.195183
NG        	             2.9	35.8226 	     0.677361 	  36.4024	         0.688325 	          2.24748 	                 0.042497  	         25.5275	                0.482693

