Location  	  Internet Users	    DNS	  DNS-Adjusted	  Anycast	  Anycast-Adjusted	  Regional Anycast	  Regional Anycast-Adjusted	  Mixed Approach	  Mixed Approach-Adjusted
US        	             5.5	36.4401	     1.32771  	  23.26  	         0.847485 	          5.51627 	                 0.200987  	         34.7836	                 1.26735


BR        	             3.3	30.3286	     0.661927 	  35.3909	         0.772413 	          1.00208 	                 0.0218705 	         33.2784	                 0.726307
AR        	             0.8	24.1818	     0.12446  	  34.9164	         0.17971  	          0.352818	                 0.00181591	         40.549 	                 0.2087


IN        	            15.5	32.1023	     3.27978  	  39.9666	         4.08325  	          0.6774  	                 0.0692076 	         27.2537	                 2.78442
CN        	            18.8	40.304 	     4.99208  	  39.2733	         4.86441  	          0.473736	                 0.0586773 	         19.949 	                 2.47089
ID        	             3.9	15.4551	     0.402186 	  48.2337	         1.25518  	          0.777485	                 0.0202324 	         35.5337	                 0.924688
AE        	             0.2	20.931 	     0.0312322	  42.853 	         0.0639431	          0.787934	                 0.00117572	         35.428 	                 0.052864


FR        	             1.1	31.7087	     0.234782 	  38.3358	         0.283852 	          4.10675 	                 0.0304078 	         25.8488	                 0.191393
GB        	             1.2	31.009 	     0.247171 	  32.9049	         0.262283 	          4.11995 	                 0.0328399 	         31.9661	                 0.2548
TR        	             1.3	22.3394	     0.198474 	  41.2065	         0.366098 	          0.496042	                 0.00440707	         35.958 	                 0.319468
RU        	             2.3	10.5911	     0.161755 	  57.6467	         0.880421 	          0.453426	                 0.00692505	         31.3088	                 0.47817
DE        	             1.5	33.6009	     0.325816 	  37.7816	         0.366355 	          0.903879	                 0.0087646 	         27.7136	                 0.268729


AU        	             0.4	35.4354	     0.101574 	  27.8084	         0.0797116	          0.750751	                 0.00215199	         36.0054	                 0.103208


ZA        	             0.6	15.8181	     0.0669631	  55.4854	         0.234887 	          0.300225	                 0.00127095	         28.3963	                 0.120211
EG        	             1  	16.6044	     0.111387 	  55.3049	         0.371    	          0.500029	                 0.00335433	         27.5907	                 0.185086
NG        	             2.9	20.7271	     0.391925 	  41.8472	         0.791279 	          2.3978  	                 0.0453395 	         35.0279	                 0.662333

