Country  	CDN           	  percentage of resources	  bytes of resources	  ('local', 'same_R')	  ('local', 'neigh_subR')	  ('local', 'non-neigh_R')	label
US       	EdgeCast      	                5.55409  	           3.27982  	           0.190476  	                0.691877 	                1         	Regional Anycast
US       	Cloudfront    	                7.04702  	           9.51724  	           1         	                1        	                1         	DNS
US       	Fastly        	               14.1697   	          19.3214   	           0.555556  	                0.134409 	                0.273743  	Anycast
US       	Akamai        	               25.9027   	          15.42     	           1         	                1        	                1         	DNS
US       	Google        	               18.4643   	           7.88104  	           0.372733  	                0.633333 	                0.666667  	Mixed Approach
US       	Cloudflare    	               21.9928   	          29.2128   	           0.0805198 	                0.0587719	                0.063317  	Anycast
US       	Yahoo         	                1.08188  	           0.242524 	           0.615385  	                0.538462 	                1         	DNS
US       	CDN77         	                0.894443 	           2.08828  	           1         	                1        	                1         	DNS

BR       	EdgeCast      	                0.972746 	           1.41357  	           0.236264  	                1        	                1         	Regional Anycast
BR       	Cloudfront    	                5.9504   	           8.66189  	           1         	                1        	                1         	DNS
BR       	Fastly        	                4.3905   	           4.06252  	           0.35      	                0.360656 	                0.377049  	Anycast
BR       	Akamai        	               12.8473   	          13.8423   	           1         	                1        	                1         	DNS
BR       	Google        	               27.1821   	          23.8667   	           0.680851  	                0.508929 	                0.772152  	DNS
BR       	Cloudflare    	               34.2542   	          31.0626   	           0.00849858	                0.0395989	                0.00733596	Anycast
BR       	CDN77         	                1.59057  	           1.43014  	           0.1875    	                1        	                1         	Regional Anycast
BR       	Azion         	                4.42555  	           4.72865  	           1         	                1        	                1         	DNS

AR       	EdgeCast      	                0.346199 	           0.854593 	           0         	                0.75     	                1         	Regional Anycast
AR       	Cloudfront    	                9.18287  	          12.2107   	           1         	                1        	                1         	DNS
AR       	Fastly        	                8.55431  	           6.49358  	           0.545455  	                0.8      	                0.521895  	Mixed Approach
AR       	Akamai        	                9.22461  	          10.9359   	           0.970588  	                1        	                1         	DNS
AR       	Google        	               30.4459   	          23.0562   	           0.621019  	                0.413883 	                0.718954  	DNS
AR       	Cloudflare    	               32.2309   	          30.7356   	           0.00932432	                0.112593 	                0.0163603 	Anycast
AR       	Yahoo         	                0.402671 	           0.17439  	           0.464286  	                1        	                1         	DNS
AR       	CDN77         	                1.52229  	           2.40669  	           0.257835  	                0.961538 	                1         	Regional Anycast
AR       	Facebook      	                2.25889  	           3.38144  	           1         	                1        	                1         	DNS
AR       	BunnyCDN      	                0.333923 	           0.812666 	           0.5       	                1        	                1         	DNS
AR       	StackPath     	                2.13858  	           1.446    	           0.4       	                0.333333 	                0.571429  	Mixed Approach

GB       	EdgeCast      	                4.14514  	           2.65987  	           0.5       	                0.3      	                1         	Regional Anycast
GB       	Cloudfront    	                9.96546  	          10.3129   	           1         	                1        	                1         	DNS
GB       	Fastly        	               11.1607   	          13.3429   	           0.0375817 	                0.435772 	                0.523899  	Mixed Approach
GB       	Akamai        	               18.7326   	          11.9455   	           1         	                1        	                1         	DNS
GB       	Google        	               18.2007   	          17.8243   	           0.430779  	                0.62547  	                0.504275  	Mixed Approach
GB       	Cloudflare    	               32.0026   	          28.6857   	           0.0498741 	                0.0284042	                0.0103816 	Anycast
GB       	CDN77         	                0.770336 	           1.06312  	           0.5       	                1        	                1         	DNS

FR       	EdgeCast      	                4.02047  	           3.48856  	           0.126263  	                0.214286 	                1         	Regional Anycast
FR       	Cloudfront    	                8.32396  	          10.8708   	           1         	                1        	                1         	DNS
FR       	Fastly        	                6.83261  	           9.16295  	           0.113379  	                0.0729746	                0.473684  	Mixed Approach
FR       	Akamai        	               19.3512   	          12.0352   	           1         	                1        	                1         	DNS
FR       	Google        	               15.8787   	          19.5088   	           0.231481  	                0.232323 	                0.302521  	Anycast
FR       	Cloudflare    	               37.1712   	          35.9696   	           0.0200898 	                0.0163728	                0.0147728 	Anycast
FR       	Yahoo         	                0.232229 	           0.206218 	           0.25      	                0.75     	                1         	Regional Anycast
FR       	CDN77         	                1.1176   	           1.37526  	           1         	                1        	                1         	DNS
FR       	StackPath     	                0.388258 	           0.470819 	           0.25      	                0.4      	                0.25      	Anycast
FR       	Level3        	                2.33318  	           0.973411 	           1         	                1        	                1         	DNS

ES       	EdgeCast      	                1.49188  	           2.88962  	           0.166667  	                0.333333 	                1         	Regional Anycast
ES       	Cloudfront    	                9.03967  	          13.5618   	           1         	                1        	                1         	DNS
ES       	Fastly        	               11.5151   	           5.68675  	           0.249301  	                0.594109 	                0.603448  	Mixed Approach
ES       	Akamai        	               20.6266   	          14.55     	           1         	                1        	                1         	DNS
ES       	Google        	               15.4934   	          18.1812   	           0.834951  	                0.825183 	                0.804124  	DNS
ES       	Cloudflare    	               28.6219   	          24.0159   	           0.00787402	                0.0328714	                0.0160819 	Anycast
ES       	CDN77         	                5.5973   	           6.98732  	           1         	                1        	                1         	DNS
ES       	StackPath     	                1.67974  	           1.84632  	           0.571429  	                0.321429 	                0.371429  	Anycast

TR       	EdgeCast      	                0.477281 	           3.0404   	           1         	                1        	                1         	DNS
TR       	Cloudfront    	                2.88056  	           3.47448  	           1         	                1        	                1         	DNS
TR       	Fastly        	                3.28794  	           2.87473  	           0.204301  	                0.169213 	                0.298246  	Anycast
TR       	Akamai        	                8.58865  	           4.43037  	           1         	                1        	                1         	DNS
TR       	Google        	               30.3652   	          20.2443   	           0.502315  	                0.851429 	                0.620963  	Mixed Approach
TR       	Cloudflare    	               40.2411   	          44.1349   	           0.0869487 	                0.100671 	                0.0386628 	Anycast
TR       	CDN77         	                2.05375  	           4.71639  	           0.493506  	                0.7      	                0.75      	DNS
TR       	Medianova     	                6.10823  	           8.3278   	           0.75      	                0.666667 	                1         	DNS

