CDN                	  Total Domains	  ECS Scope>0(support ECS)	   (%)	use ECS
Akamai             	           1944	                       265	 13.63	Yes
Google             	           2169	                      1283	 59.15	Yes
Fastly             	            729	                       100	 13.72	Yes
Cloudflare         	           4847	                      4574	 94.37	Yes
Twitter            	             14	                        12	 85.71	Yes
Facebook           	             44	                        43	 97.73	Yes
Cloudfront         	           1021	                       924	 90.5 	Yes
Level3             	             39	                        35	 89.74	Yes
StackPath          	            128	                        25	 19.53	Yes
Highwinds          	             71	                        19	 26.76	Yes
jsDelivr           	              3	                         2	 66.67	No
Edgio              	            128	                       108	 84.38	Yes
Yahoo              	             86	                         1	  1.16	Yes
CDN77              	            193	                       179	 92.75	Yes
KeyCDN             	             17	                        17	100   	Yes
Incapsula          	             98	                        48	 48.98	Yes
MicrosoftAzure     	             76	                        67	 88.16	Yes
Taobao             	             96	                        93	 96.88	Yes
Tencent            	            199	                       185	 92.96	Yes
BunnyCDN           	             92	                        91	 98.91	Yes
Netlify            	              6	                         2	 33.33	Yes
Rackspace          	             20	                         1	  5   	Yes
LambdaCDN          	              6	                         5	 83.33	Yes
Limelight          	              8	                         6	 75   	No
SFR                	              1	                         0	  0   	No
section.io         	              4	                         0	  0   	No
ChinaNetCenter     	              7	                         7	100   	Yes
CDNetworks         	             76	                        75	 98.68	Yes
Reapleaf           	              2	                         1	 50   	No
Yottaa             	             11	                         0	  0   	No
Medianova          	             87	                        84	 96.55	Yes
cubeCDN            	             10	                        10	100   	Yes
NGENIX             	             36	                        31	 86.11	Yes
Cachefly           	              2	                         2	100   	Yes
Myra               	              9	                         4	 44.44	Yes
Internap           	              2	                         1	 50   	Yes
Tata communications	              9	                         1	 11.11	No
Azion              	             81	                        67	 82.72	Yes
GoCache            	             21	                         2	  9.52	No
Telefonica         	              5	                         1	 20   	No
OnApp              	              2	                         0	  0   	No
BitGravity         	              2	                         0	  0   	No
WordPress          	              1	                         0	  0   	No
KINXCDN            	              1	                         0	  0   	No
ChinaCache         	              1	                         1	100   	Yes
Alimama            	              1	                         1	100   	Yes
